ID;PRACA;M_INT;M_EXT
030E + 030F;JP;18,40m;18,95m
030F + 030H;JP;20,45m;20,75m
035A + 035B;JP;18,20m;18,50m
109A + 109B;JP;18,25m;18,75m
106B + 106C;CG;18,10m;18,60m
007B + 007C;JP;18,35m;18,90m
018A + 018B;CG;18,15m;18,45m
106H + 106I;CG;18,20m;18,50m
067C + 067D;JP;18,25m;18,55m
109A + 109B;JP;18,25m;18,55m
146A + 146B;JP;18,10m;18,60m
106M + 106N;CG;18,05m;18,55m
007A + 007B;JP;18,10m;18,70m
027D + 027E;JP;18,10m;18,60m
025E + 025F;JP;18,70m;18,92m
030E + 030F;JP;18,40m;18,80m
067H + 067I;JP;18,20m;18,50m
025A + 025O;JP;18,20m;18,70m
027C + 027D;JP;18,10m;18,85m
025F + 025G;JP;18,60m;18,70m
143B + 143C;JP;18,20m;18,70m
152A + 152B;JP;17,90m;18,40m
092A + 092B;JP;18,70m;19,00m
011A + 011B ;JP;18,55m;19,05m
021A + 021B;JP;18,10m;18,40m
004B + 004C;JP;18,50m;18,80m
028A + 028B;JP;18,05m;18,35m
078A + 078B;JP;18,25m;18,55m
024D + 024E;JP;18,65m;18,85m
067A + 067B;JP;18,30m;18,90m
025B + 025C;JP;18,10m;18,40m
132A + 132B;JP;18,20m;18,50m
096B + 096C;JP;18,20m;18,70m
025B + 025C;JP;18,10m;18,60m
001A + 001B;JP;18,10m;18,40m
084A + 084B;JP;18,30m;18,80m
021A + 021B + 021C;JP;27,60m;28,10m
027C + 027D + 027E;JP;27,60m;28,10m
024C + 024D;JP;17,90m;18,40m
027A + 027B;JP;18,60m;19,10m
050A + 050B;JP;18,25m;18,85m
034C + 034D;JP;19,30m;19,80m
030I + 030J;JP;18,10m;18,70m
095D + 095F;JP;18,30m;18,80m
058D + 058E;JP;18,70m;19,20m
119B + 119C;JP;18,80m;19,30m
007C + 007D;JP;18,30m;19,00m
142A + 142B;JP;18,30m;18,80m
130C + 130D;CG;18,60m;19,10m
131A + 131B;CG;18,20m;18,70m
110A + 110B;CG;18,40m;18,90m
106F + 106G + 106H;CG;28,40m;28,80m
036H + 036i;CG;18,60m;18,90m
130A + 130B;CG;18,15m;18,65m
